year,Optimistic,Pessimistic
2020,0.0,0.0
2021,0.05600000000000094,0.03800000000000381
2022,0.08800000000000097,0.06800000000000139
2023,0.11700000000000443,0.10799999999999699
2024,0.1340000000000039,0.14499999999999957
2025,0.16600000000000392,0.16600000000000392
2026,0.1750000000000007,0.19900000000000162
2027,0.1770000000000067,0.2410000000000032
2028,0.20500000000000185,0.267000000000003
2029,0.22400000000000375,0.32200000000000273
2030,0.22300000000000253,0.35600000000000165
2031,0.2170000000000023,0.37000000000000455
2032,0.23799999999999955,0.42399999999999594
2033,0.2690000000000019,0.4670000000000023
2034,0.267000000000003,0.5160000000000018
2035,0.2830000000000048,0.5910000000000011
2036,0.267000000000003,0.679000000000002
2037,0.3000000000000078,0.7389999999999972
2038,0.34100000000000463,0.8140000000000001
2039,0.3640000000000043,0.8829999999999991
2040,0.3660000000000032,0.977999999999998
2041,0.3950000000000067,1.093
2042,0.4100000000000037,1.1600000000000037
2043,0.4320000000000057,1.2289999999999957
2044,0.4380000000000024,1.2949999999999982
2045,0.4420000000000037,1.3469999999999978
2046,0.48799999999999955,1.376999999999999
2047,0.5060000000000002,1.4149999999999991
2048,0.5110000000000028,1.5189999999999984
2049,0.5079999999999991,1.5590000000000046
2050,0.532,1.6129999999999995
