Climate scenario,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic
Forecast scenario,Control,Status quo,Improvement,Control,Status quo,Improvement
Year,,,,,,
2020,0.0,9.838895098646105e-05,0.00019678185319005337,0.0,9.838895098646105e-05,0.00019678185319005337
2021,-0.001302002319192308,0.001778853030920402,0.003702070066458063,-0.0008834883327812904,0.002198092689686959,0.0041219532716185725
2022,-0.00503958567472651,0.008640845149354703,0.017216879786552397,-0.003661841218605133,0.010023451016749618,0.01860268575033519
2023,-0.009926918488167846,0.019536880557802228,0.0380138526795637,-0.007893789751489688,0.021579198207422046,0.04006206446289795
2024,-0.016787462362233274,0.03824817056790053,0.0728319132949018,-0.0147523006671757,0.04029131783793716,0.0748803043502777
2025,-0.02472630168088852,0.06148057184651723,0.11568900177094665,-0.022651938370810143,0.06356317876998752,0.11777714147269691
2026,-0.033220207910478194,0.0900503620366866,0.16759620171706846,-0.0319179525616442,0.0913482195664006,0.16889159060498038
2027,-0.041900043837994616,0.1243095723975518,0.22890132431856447,-0.0428596139582571,0.12330077923365934,0.2278618345592731
2028,-0.051318102017816614,0.1634861789209019,0.29869836383467074,-0.05501564878208631,0.15967819838731412,0.29482111920677845
2029,-0.06120208824789142,0.2074701807064372,0.3766376114040071,-0.06912545386141833,0.19932724532343293,0.3683568188324271
2030,-0.07092433325054381,0.25635459414889983,0.4624791149038243,-0.08475530354143945,0.24213058543047783,0.44800828724069763
2031,-0.08006175573159746,0.30990124382652695,0.5555771627394623,-0.10118558844744996,0.288144981574856,0.5334233118023946
2032,-0.08893158309828397,0.3670549852235805,0.6543109442850303,-0.11894729140601301,0.3360792569033322,0.6227312137572216
2033,-0.09790923795688355,0.42672303106012777,0.7570897834534129,-0.1379525029893136,0.3853089252864539,0.7148127375242064
2034,-0.10655538758242988,0.4887642943965931,0.8633862800431213,-0.15823463912105762,0.43518043453001365,0.8086027810028984
2035,-0.11499801233395557,0.5525860515668946,0.9723135673654681,-0.18042148369952216,0.4845582539192872,0.9026444336204476
2036,-0.12266971887507916,0.6184927439873755,1.084023927035993,-0.20523925852015124,0.5323593791182413,0.9956432372241419
2037,-0.13026506905070567,0.6855972723893045,1.197621246799474,-0.23246289899168104,0.5786511987954324,1.0876782676357166
2038,-0.13860445764422025,0.7529957396323894,1.312230864910302,-0.2621755552249416,0.6232796336527624,1.1786381233485743
2039,-0.1477652787690409,0.820642430516072,1.427879748671379,-0.2942830063923263,0.6663584694244884,1.2686969851059882
2040,-0.15723362627171333,0.8891490482512143,1.545273088301613,-0.32925926148925644,0.7074135565483752,1.3574106098495964
2041,-0.16731745214383364,0.9582291082250949,1.6641503944706315,-0.3678930210725295,0.7456175861175973,1.443941223113132
2042,-0.1778915135658199,1.0280231953682106,1.7846655544068613,-0.40937374370279,0.781826537477226,1.529175213618128
2043,-0.18897956135206506,1.0984444115799796,1.9066843215211238,-0.45305265398718486,0.8166520816133227,1.61369261698181
2044,-0.20016681080992083,1.1698146210423976,2.03045816709595,-0.4984167576190135,0.8504939558268143,1.6978080521180994
2045,-0.21109413872919536,1.2423265501570357,2.1560561443528137,-0.5446996835868245,0.8839664478136333,1.7820233513399897
2046,-0.22269385021304045,1.3146960140175246,2.2819554608314307,-0.5906780273497336,0.9181355581374007,1.867286805699453
2047,-0.23473156252195038,1.3868865311283507,2.407931736339952,-0.6357667958181934,0.9533271910176833,1.953743590756818
2048,-0.24664202267106194,1.459193660720337,2.5340921523683058,-0.6815635994327884,0.9874351267726844,2.0389477191198324
2049,-0.257866959436992,1.5318997754508734,2.6605274361721776,-0.7269709811549396,1.021356206828461,2.1236537931368815
2050,-0.2688603447874027,1.604169124992838,2.7861440165980467,-0.7717294092522975,1.0550486679202553,2.207612466876152
